Uid,Sid,Key,Time,Value,UpdateTime
6487770458,hlth.gen_100925779738951,steps,1742405040,"{""time"":1742405040,""steps"":54,""distance"":32,""calories"":2.1599998}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742405040,"{""time"":1742405040,""calories"":2.1599998}",1742408920
6487770458,787920380,steps,1742405040,"{""time"":1742405040,""steps"":57,""distance"":35,""calories"":3}",1742408914
6487770458,787920380,calories,1742405040,"{""time"":1742405040,""calories"":3}",1742408925
6487770458,787920380,calories,1742404980,"{""time"":1742404980,""calories"":2}",1742408925
6487770458,787920380,steps,1742404980,"{""time"":1742404980,""steps"":10,""distance"":6,""calories"":2}",1742408914
6487770458,787920380,calories,1742404920,"{""time"":1742404920,""calories"":1}",1742408925
6487770458,787920380,calories,1742404800,"{""time"":1742404800,""calories"":2}",1742408925
6487770458,787920380,steps,1742404740,"{""time"":1742404740,""steps"":31,""distance"":20,""calories"":2}",1742408914
6487770458,787920380,calories,1742404740,"{""time"":1742404740,""calories"":2}",1742408925
6487770458,787920380,calories,1742404680,"{""time"":1742404680,""calories"":1}",1742408925
6487770458,787920380,heart_rate,1742404680,"{""time"":1742404680,""bpm"":103}",1742408904
6487770458,787920380,steps,1742404620,"{""time"":1742404620,""steps"":7,""distance"":4,""calories"":1}",1742408914
6487770458,787920380,calories,1742404620,"{""time"":1742404620,""calories"":1}",1742408925
6487770458,787920380,calories,1742404560,"{""time"":1742404560,""calories"":2}",1742408925
6487770458,hlth.gen_100925779738951,calories,1742404500,"{""time"":1742404500,""calories"":0.48}",1742408920
6487770458,hlth.gen_100925779738951,steps,1742404500,"{""time"":1742404500,""steps"":12,""distance"":7,""calories"":0.48}",1742408914
6487770458,787920380,steps,1742404500,"{""time"":1742404500,""steps"":19,""distance"":12,""calories"":2}",1742408914
6487770458,787920380,calories,1742404500,"{""time"":1742404500,""calories"":2}",1742408925
6487770458,787920380,calories,1742404440,"{""time"":1742404440,""calories"":2}",1742408925
6487770458,787920380,calories,1742404380,"{""time"":1742404380,""calories"":2}",1742408925
6487770458,787920380,calories,1742404320,"{""time"":1742404320,""calories"":2}",1742408925
6487770458,787920380,steps,1742404320,"{""time"":1742404320,""steps"":53,""distance"":32,""calories"":2}",1742408914
6487770458,hlth.gen_100925779738951,steps,1742404320,"{""time"":1742404320,""steps"":31,""distance"":18,""calories"":1.24}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742404320,"{""time"":1742404320,""calories"":1.24}",1742408920
6487770458,787920380,calories,1742404260,"{""time"":1742404260,""calories"":2}",1742408925
6487770458,787920380,steps,1742404260,"{""time"":1742404260,""steps"":60,""distance"":38,""calories"":2}",1742408914
6487770458,hlth.gen_100925779738951,steps,1742404260,"{""time"":1742404260,""steps"":71,""distance"":42,""calories"":2.84}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742404260,"{""time"":1742404260,""calories"":5.6}",1742408920
6487770458,787920380,intensity,1742404200,"{""time"":1742404200}",1742408928
6487770458,hlth.gen_100925779738951,calories,1742404200,"{""time"":1742404200,""calories"":2.6799998}",1742408920
6487770458,787920380,calories,1742404200,"{""time"":1742404200,""calories"":2}",1742408925
6487770458,hlth.gen_100925779738951,steps,1742404200,"{""time"":1742404200,""steps"":67,""distance"":40,""calories"":2.6799998}",1742408914
6487770458,787920380,steps,1742404200,"{""time"":1742404200,""steps"":87,""distance"":53,""calories"":2}",1742408914
6487770458,hlth.gen_100925779738951,steps,1742404140,"{""time"":1742404140,""steps"":33,""distance"":19,""calories"":1.3199999}",1742408914
6487770458,787920380,calories,1742404140,"{""time"":1742404140,""calories"":2}",1742408925
6487770458,hlth.gen_100925779738951,calories,1742404140,"{""time"":1742404140,""calories"":1.3199999}",1742408920
6487770458,787920380,heart_rate,1742404080,"{""time"":1742404080,""bpm"":106}",1742408904
6487770458,787920380,calories,1742404080,"{""time"":1742404080,""calories"":3}",1742408925
6487770458,787920380,calories,1742404020,"{""time"":1742404020,""calories"":1}",1742408925
6487770458,787920380,calories,1742403900,"{""time"":1742403900,""calories"":1}",1742408925
6487770458,787920380,calories,1742403840,"{""time"":1742403840,""calories"":1}",1742408925
6487770458,787920380,valid_stand,1742403600,"{""end_time"":1742407200,""start_time"":1742403600}",1742408928
6487770458,787920380,calories,1742403600,"{""time"":1742403600,""calories"":1}",1742408925
6487770458,787920380,heart_rate,1742403480,"{""time"":1742403480,""bpm"":104}",1742408904
6487770458,787920380,calories,1742403480,"{""time"":1742403480,""calories"":1}",1742408925
6487770458,787920380,calories,1742403360,"{""time"":1742403360,""calories"":1}",1742408925
6487770458,787920380,calories,1742403240,"{""time"":1742403240,""calories"":1}",1742408925
6487770458,787920380,calories,1742403120,"{""time"":1742403120,""calories"":1}",1742408925
6487770458,787920380,calories,1742403000,"{""time"":1742403000,""calories"":1}",1742408925
6487770458,787920380,heart_rate,1742402880,"{""time"":1742402880,""bpm"":106}",1742408904
6487770458,787920380,calories,1742402880,"{""time"":1742402880,""calories"":1}",1742408925
6487770458,787920380,calories,1742402760,"{""time"":1742402760,""calories"":2}",1742408925
6487770458,787920380,steps,1742402700,"{""time"":1742402700,""steps"":11,""distance"":7,""calories"":1}",1742408914
6487770458,hlth.gen_100925779738951,steps,1742402700,"{""time"":1742402700,""steps"":5,""distance"":3,""calories"":0.19999999}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742402700,"{""time"":1742402700,""calories"":0.19999999}",1742408920
6487770458,787920380,calories,1742402700,"{""time"":1742402700,""calories"":1}",1742408925
6487770458,hlth.gen_100925779738951,steps,1742402640,"{""time"":1742402640,""steps"":110,""distance"":66,""calories"":4.4}",1742408914
6487770458,787920380,steps,1742402640,"{""time"":1742402640,""steps"":112,""distance"":70,""calories"":1}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742402640,"{""time"":1742402640,""calories"":4.4}",1742408920
6487770458,787920380,intensity,1742402640,"{""time"":1742402640}",1742408928
6487770458,787920380,calories,1742402640,"{""time"":1742402640,""calories"":1}",1742408925
6487770458,787920380,calories,1742402580,"{""time"":1742402580,""calories"":4}",1742408925
6487770458,hlth.gen_100925779738951,calories,1742402580,"{""time"":1742402580,""calories"":4.6}",1742408920
6487770458,787920380,intensity,1742402580,"{""time"":1742402580}",1742408928
6487770458,787920380,steps,1742402580,"{""time"":1742402580,""steps"":120,""distance"":74,""calories"":4}",1742408914
6487770458,hlth.gen_100925779738951,steps,1742402580,"{""time"":1742402580,""steps"":115,""distance"":69,""calories"":4.6}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742402520,"{""time"":1742402520,""calories"":4.7599998}",1742408920
6487770458,hlth.gen_100925779738951,steps,1742402520,"{""time"":1742402520,""steps"":119,""distance"":71,""calories"":4.7599998}",1742408914
6487770458,787920380,intensity,1742402520,"{""time"":1742402520}",1742408928
6487770458,787920380,steps,1742402520,"{""time"":1742402520,""steps"":116,""distance"":72,""calories"":3}",1742408914
6487770458,787920380,calories,1742402520,"{""time"":1742402520,""calories"":3}",1742408925
6487770458,787920380,calories,1742402460,"{""time"":1742402460,""calories"":3}",1742408925
6487770458,hlth.gen_100925779738951,steps,1742402460,"{""time"":1742402460,""steps"":20,""distance"":12,""calories"":0.79999995}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742402460,"{""time"":1742402460,""calories"":0.99999994}",1742408920
6487770458,787920380,steps,1742402460,"{""time"":1742402460,""steps"":55,""distance"":34,""calories"":3}",1742408914
6487770458,787920380,intensity,1742402400,"{""time"":1742402400}",1742408928
6487770458,787920380,calories,1742402400,"{""time"":1742402400,""calories"":3}",1742408925
6487770458,hlth.gen_100925779738951,steps,1742402400,"{""time"":1742402400,""steps"":113,""distance"":67,""calories"":4.52}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742402400,"{""time"":1742402400,""calories"":4.52}",1742408920
6487770458,787920380,steps,1742402400,"{""time"":1742402400,""steps"":116,""distance"":72,""calories"":3}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742402340,"{""time"":1742402340,""calories"":0.28}",1742408920
6487770458,787920380,calories,1742402340,"{""time"":1742402340,""calories"":2}",1742408925
6487770458,hlth.gen_100925779738951,steps,1742402340,"{""time"":1742402340,""steps"":7,""distance"":4,""calories"":0.28}",1742408914
6487770458,787920380,steps,1742402280,"{""time"":1742402280,""steps"":5,""distance"":3,""calories"":2}",1742408914
6487770458,787920380,calories,1742402280,"{""time"":1742402280,""calories"":2}",1742408925
6487770458,787920380,heart_rate,1742402280,"{""time"":1742402280,""bpm"":114}",1742408904
6487770458,hlth.gen_100925779738951,steps,1742402220,"{""time"":1742402220,""steps"":11,""distance"":6,""calories"":0.44}",1742408914
6487770458,787920380,steps,1742402220,"{""time"":1742402220,""steps"":50,""distance"":31,""calories"":2}",1742408914
6487770458,hlth.gen_100925779738951,calories,1742402220,"{""time"":1742402220,""calories"":0.44}",1742408920
6487770458,787920380,calories,1742402220,"{""time"":1742402220,""calories"":2}",1742408925
6487770458,787920380,steps,1742402160,"{""time"":1742402160,""steps"":10,""distance"":6,""calories"":3}",1742408914
6487770458,787920380,calories,1742402160,"{""time"":1742402160,""calories"":3}",1742408925
6487770458,787920380,calories,1742402100,"{""time"":1742402100,""calories"":1}",1742408925
6487770458,787920380,calories,1742402040,"{""time"":1742402040,""calories"":4}",1742408925
6487770458,787920380,steps,1742402040,"{""time"":1742402040,""steps"":20,""distance"":12,""calories"":4}",1742408914
6487770458,787920380,calories,1742401980,"{""time"":1742401980,""calories"":1}",1742408925
6487770458,787920380,calories,1742401860,"{""time"":1742401860,""calories"":2}",1742408925
6487770458,787920380,calories,1742401800,"{""time"":1742401800,""calories"":1}",1742408925
6487770458,787920380,heart_rate,1742401680,"{""time"":1742401680,""bpm"":98}",1742408904
6487770458,787920380,calories,1742401680,"{""time"":1742401680,""calories"":2}",1742408925
6487770458,787920380,steps,1742401620,"{""time"":1742401620,""steps"":30,""distance"":19,""calories"":2}",1742408914
6487770458,787920380,calories,1742401620,"{""time"":1742401620,""calories"":2}",1742408925
